year,nuts_id,nuts_year_spec,contract_research_sme
2014,UKC1,2013,591000
2014,UKC2,2013,635000
2014,UKD1,2013,8000
2014,UKD3,2013,3415000
2014,UKD4,2013,294000
2014,UKD6,2013,0
2014,UKD7,2013,1954000
2014,UKE1,2013,187000
2014,UKE2,2013,143000
2014,UKE3,2013,2515000
2014,UKE4,2013,1564000
2014,UKF1,2013,1434000
2014,UKF2,2013,1343000
2014,UKF3,2013,155000
2014,UKG1,2013,111000
2014,UKG2,2013,140000
2014,UKG3,2013,4190000
2014,UKH1,2013,580000
2014,UKH2,2013,1540000
2014,UKH3,2013,372000
2014,UKI3,2013,5781000
2014,UKI4,2013,1454000
2014,UKI5,2013,67000
2014,UKI6,2013,16000
2014,UKI7,2013,934000
2014,UKJ1,2013,2766000
2014,UKJ2,2013,814000
2014,UKJ3,2013,1603000
2014,UKJ4,2013,32000
2014,UKK1,2013,638000
2014,UKK2,2013,61000
2014,UKK3,2013,0
2014,UKK4,2013,333000
2014,UKL1,2013,604000
2014,UKL2,2013,1542000
2014,UKM2,2013,1968000
2014,UKM3,2013,1531000
2014,UKM5,2013,6009000
2014,UKM6,2013,623000
2014,UKN0,2013,527000
2015,UKC1,2013,632000
2015,UKC2,2013,978000
2015,UKD1,2013,0
2015,UKD3,2013,3659000
2015,UKD4,2013,1321000
2015,UKD6,2013,39000
2015,UKD7,2013,2418000
2015,UKE1,2013,116000
2015,UKE2,2013,151000
2015,UKE3,2013,3601000
2015,UKE4,2013,2026000
2015,UKF1,2013,2477000
2015,UKF2,2013,1334000
2015,UKF3,2013,167000
2015,UKG1,2013,1000
2015,UKG2,2013,235000
2015,UKG3,2013,3020000
2015,UKH1,2013,891000
2015,UKH2,2013,1314000
2015,UKH3,2013,64000
2015,UKI3,2013,6135000
2015,UKI4,2013,1847000
2015,UKI5,2013,77000
2015,UKI6,2013,11000
2015,UKI7,2013,228000
2015,UKJ1,2013,3077000
2015,UKJ2,2013,1176000
2015,UKJ3,2013,2057000
2015,UKJ4,2013,20000
2015,UKK1,2013,956000
2015,UKK2,2013,132000
2015,UKK3,2013,5000
2015,UKK4,2013,514000
2015,UKL1,2013,826000
2015,UKL2,2013,1767000
2015,UKM2,2013,1883000
2015,UKM3,2013,1795000
2015,UKM5,2013,5987000
2015,UKM6,2013,459000
2015,UKN0,2013,872000
2016,UKC1,2016,743000
2016,UKC2,2016,1237000
2016,UKD1,2016,0
2016,UKD3,2016,2956000
2016,UKD4,2016,556000
2016,UKD6,2016,49000
2016,UKD7,2016,2280000
2016,UKE1,2016,46000
2016,UKE2,2016,1139000
2016,UKE3,2016,4073000
2016,UKE4,2016,3223000
2016,UKF1,2016,2064000
2016,UKF2,2016,883000
2016,UKF3,2016,146000
2016,UKG1,2016,0
2016,UKG2,2016,358000
2016,UKG3,2016,3450000
2016,UKH1,2016,715000
2016,UKH2,2016,1805000
2016,UKH3,2016,131000
2016,UKI3,2016,7356000
2016,UKI4,2016,1001000
2016,UKI5,2016,178000
2016,UKI6,2016,6000
2016,UKI7,2016,120000
2016,UKJ1,2016,8500000
2016,UKJ2,2016,1205000
2016,UKJ3,2016,1751000
2016,UKJ4,2016,8000
2016,UKK1,2016,1325000
2016,UKK2,2016,211000
2016,UKK3,2016,0
2016,UKK4,2016,726000
2016,UKL1,2016,1626000
2016,UKL2,2016,1514000
2016,UKM5,2016,5522000
2016,UKM6,2016,62000
2016,UKM7,2016,3216000
2016,UKM8,2016,3208000
2016,UKN0,2016,818000
2017,UKC1,2016,974000
2017,UKC2,2016,919000
2017,UKD1,2016,0
2017,UKD3,2016,4830000
2017,UKD4,2016,1390000
2017,UKD6,2016,29000
2017,UKD7,2016,2592000
2017,UKE1,2016,56000
2017,UKE2,2016,196000
2017,UKE3,2016,4571000
2017,UKE4,2016,2537000
2017,UKF1,2016,1996000
2017,UKF2,2016,905000
2017,UKF3,2016,161000
2017,UKG1,2016,18000
2017,UKG2,2016,570000
2017,UKG3,2016,2737000
2017,UKH1,2016,878000
2017,UKH2,2016,2124000
2017,UKH3,2016,174000
2017,UKI3,2016,9158000
2017,UKI4,2016,1198000
2017,UKI5,2016,123000
2017,UKI6,2016,6000
2017,UKI7,2016,340000
2017,UKJ1,2016,10482000
2017,UKJ2,2016,2030000
2017,UKJ3,2016,2795000
2017,UKJ4,2016,31000
2017,UKK1,2016,1210000
2017,UKK2,2016,101000
2017,UKK3,2016,0
2017,UKK4,2016,567000
2017,UKL1,2016,1141000
2017,UKL2,2016,1790000
2017,UKM5,2016,5688000
2017,UKM6,2016,89000
2017,UKM7,2016,4100000
2017,UKM8,2016,3018000
2017,UKN0,2016,1556000
2018,UKC1,2016,928000
2018,UKC2,2016,649000
2018,UKD1,2016,0
2018,UKD3,2016,6187000
2018,UKD4,2016,2372000
2018,UKD6,2016,43000
2018,UKD7,2016,2666000
2018,UKE1,2016,88000
2018,UKE2,2016,256000
2018,UKE3,2016,5412000
2018,UKE4,2016,4479000
2018,UKF1,2016,2844000
2018,UKF2,2016,1271000
2018,UKF3,2016,289000
2018,UKG1,2016,0
2018,UKG2,2016,528000
2018,UKG3,2016,3592000
2018,UKH1,2016,839000
2018,UKH2,2016,1983000
2018,UKH3,2016,541000
2018,UKI3,2016,10444000
2018,UKI4,2016,1782000
2018,UKI5,2016,120000
2018,UKI6,2016,38000
2018,UKI7,2016,217000
2018,UKJ1,2016,10313000
2018,UKJ2,2016,2611000
2018,UKJ3,2016,2575000
2018,UKJ4,2016,25000
2018,UKK1,2016,1536000
2018,UKK2,2016,139000
2018,UKK3,2016,0
2018,UKK4,2016,1205000
2018,UKL1,2016,971000
2018,UKL2,2016,1272000
2018,UKM5,2016,6899000
2018,UKM6,2016,91000
2018,UKM7,2016,5668000
2018,UKM8,2016,4212000
2018,UKN0,2016,2075000
