year,nuts_id,nuts_year_spec,gbp_innovate_uk_funding
2010,UKC1,2010,2688829
2011,UKC1,2010,108027481
2012,UKC1,2010,53768512
2013,UKC1,2013,49982517
2014,UKC1,2013,42143021
2015,UKC1,2013,6679321
2016,UKC1,2016,5066029
2017,UKC1,2016,21525606
2018,UKC1,2016,117258138
2019,UKC1,2016,5603922
2020,UKC1,2016,1812174
2010,UKC2,2010,4844681
2011,UKC2,2010,59081558
2012,UKC2,2010,52386253
2013,UKC2,2013,7709067
2014,UKC2,2013,16023962
2015,UKC2,2013,13475349
2016,UKC2,2016,13256921
2017,UKC2,2016,23026000
2018,UKC2,2016,99814322
2019,UKC2,2016,12730166
2020,UKC2,2016,4240356
2010,UKD1,2010,161588
2011,UKD1,2010,1312816
2012,UKD1,2010,377135
2013,UKD1,2013,498288
2014,UKD1,2013,802430
2015,UKD1,2013,160186
2016,UKD1,2016,388542
2017,UKD1,2016,5420535
2018,UKD1,2016,3088293
2019,UKD1,2016,1710213
2020,UKD1,2016,597857
2010,UKD3,2010,3536225
2011,UKD3,2010,5396042
2012,UKD3,2010,5874988
2013,UKD3,2013,10081095
2014,UKD3,2013,17017595
2015,UKD3,2013,11633306
2016,UKD3,2016,11693184
2017,UKD3,2016,21189320
2018,UKD3,2016,19743039
2019,UKD3,2016,7456744
2020,UKD3,2016,2158877
2010,UKD4,2010,1341509
2011,UKD4,2010,1486237
2012,UKD4,2010,2127027
2013,UKD4,2013,5512239
2014,UKD4,2013,3734587
2015,UKD4,2013,4003321
2016,UKD4,2016,1736296
2017,UKD4,2016,5877723
2018,UKD4,2016,6151869
2019,UKD4,2016,7726160
2020,UKD4,2016,996855
2010,UKD6,2010,1505536
2011,UKD6,2010,3125347
2012,UKD6,2010,5141258
2013,UKD6,2013,4642965
2014,UKD6,2013,5391239
2015,UKD6,2013,3981572
2016,UKD6,2016,2834441
2017,UKD6,2016,10180530
2018,UKD6,2016,5799456
2019,UKD6,2016,5706025
2020,UKD6,2016,1057083
2010,UKD7,2010,1534794
2011,UKD7,2010,4623438
2012,UKD7,2010,11238355
2013,UKD7,2013,6147629
2014,UKD7,2013,3507582
2015,UKD7,2013,2768481
2016,UKD7,2016,4486299
2017,UKD7,2016,4543267
2018,UKD7,2016,9418898
2019,UKD7,2016,5588924
2020,UKD7,2016,2746946
2010,UKE1,2010,610786
2011,UKE1,2010,2704474
2012,UKE1,2010,694420
2013,UKE1,2013,905008
2014,UKE1,2013,1574870
2015,UKE1,2013,2871423
2016,UKE1,2016,806664
2017,UKE1,2016,1926563
2018,UKE1,2016,1331003
2019,UKE1,2016,1957262
2020,UKE1,2016,188979
2010,UKE2,2010,1950236
2011,UKE2,2010,2265342
2012,UKE2,2010,1921988
2013,UKE2,2013,3709029
2014,UKE2,2013,3888922
2015,UKE2,2013,50063841
2016,UKE2,2016,5662806
2017,UKE2,2016,10667087
2018,UKE2,2016,7434382
2019,UKE2,2016,12027970
2020,UKE2,2016,970473
2010,UKE3,2010,4657819
2011,UKE3,2010,122168672
2012,UKE3,2010,12298876
2013,UKE3,2013,11722354
2014,UKE3,2013,21702647
2015,UKE3,2013,24855756
2016,UKE3,2016,15825895
2017,UKE3,2016,19551433
2018,UKE3,2016,140306137
2019,UKE3,2016,12450691
2020,UKE3,2016,1811636
2010,UKE4,2010,3124384
2011,UKE4,2010,5564958
2012,UKE4,2010,7841161
2013,UKE4,2013,6251507
2014,UKE4,2013,7065770
2015,UKE4,2013,9497958
2016,UKE4,2016,6772671
2017,UKE4,2016,9025957
2018,UKE4,2016,17572558
2019,UKE4,2016,9795826
2020,UKE4,2016,3287678
2010,UKF1,2010,4253173
2011,UKF1,2010,6965133
2012,UKF1,2010,7645446
2013,UKF1,2013,23897204
2014,UKF1,2013,20879178
2015,UKF1,2013,13696976
2016,UKF1,2016,72801929
2017,UKF1,2016,34667031
2018,UKF1,2016,25551423
2019,UKF1,2016,62950224
2020,UKF1,2016,3716409
2010,UKF2,2010,6770877
2011,UKF2,2010,4839979
2012,UKF2,2010,6329614
2013,UKF2,2013,14941214
2014,UKF2,2013,24894562
2015,UKF2,2013,9978256
2016,UKF2,2016,12280223
2017,UKF2,2016,22389439
2018,UKF2,2016,18172763
2019,UKF2,2016,16632365
2020,UKF2,2016,1887945
2010,UKF3,2010,648926
2011,UKF3,2010,1425104
2012,UKF3,2010,1163827
2013,UKF3,2013,3822520
2014,UKF3,2013,2432847
2015,UKF3,2013,2465525
2016,UKF3,2016,4351055
2017,UKF3,2016,2877604
2018,UKF3,2016,4114890
2019,UKF3,2016,694956
2020,UKF3,2016,356076
2010,UKG1,2010,4069591
2011,UKG1,2010,84786514
2012,UKG1,2010,9934094
2013,UKG1,2013,16034028
2014,UKG1,2013,41167283
2015,UKG1,2013,23687177
2016,UKG1,2016,18542904
2017,UKG1,2016,28155453
2018,UKG1,2016,226086803
2019,UKG1,2016,13325793
2020,UKG1,2016,2361894
2010,UKG2,2010,1044942
2011,UKG2,2010,2641993
2012,UKG2,2010,2777470
2013,UKG2,2013,7129825
2014,UKG2,2013,5950603
2015,UKG2,2013,4326404
2016,UKG2,2016,7257576
2017,UKG2,2016,6425789
2018,UKG2,2016,6620711
2019,UKG2,2016,2666190
2020,UKG2,2016,896646
2010,UKG3,2010,7608048
2011,UKG3,2010,88082648
2012,UKG3,2010,15520675
2013,UKG3,2013,25748056
2014,UKG3,2013,57653196
2015,UKG3,2013,39098544
2016,UKG3,2016,35025197
2017,UKG3,2016,186282556
2018,UKG3,2016,244324025
2019,UKG3,2016,46907757
2020,UKG3,2016,3787984
2010,UKH1,2010,16443343
2011,UKH1,2010,13853201
2012,UKH1,2010,30423062
2013,UKH1,2013,24384785
2014,UKH1,2013,36296327
2015,UKH1,2013,30277020
2016,UKH1,2016,29658895
2017,UKH1,2016,66237944
2018,UKH1,2016,54438919
2019,UKH1,2016,77888360
2020,UKH1,2016,5089065
2010,UKH2,2010,4568098
2011,UKH2,2010,15581836
2012,UKH2,2010,19306149
2013,UKH2,2013,15096405
2014,UKH2,2013,13611046
2015,UKH2,2013,35578202
2016,UKH2,2016,19975758
2017,UKH2,2016,25475831
2018,UKH2,2016,18144589
2019,UKH2,2016,19751524
2020,UKH2,2016,2553883
2010,UKH3,2010,3904950
2011,UKH3,2010,2416568
2012,UKH3,2010,9214993
2013,UKH3,2013,12274728
2014,UKH3,2013,5212065
2015,UKH3,2013,8557881
2016,UKH3,2016,14089358
2017,UKH3,2016,26079493
2018,UKH3,2016,14932248
2019,UKH3,2016,7105297
2020,UKH3,2016,1406674
2010,UKI1,2010,22095777
2011,UKI1,2010,25238468
2012,UKI1,2010,169654358
2010,UKI2,2010,3180873
2011,UKI2,2010,4462227
2012,UKI2,2010,9141046
2013,UKI3,2013,104644256
2014,UKI3,2013,121997424
2015,UKI3,2013,109610191
2016,UKI3,2016,82111209
2017,UKI3,2016,102478679
2018,UKI3,2016,305169275
2019,UKI3,2016,86510081
2020,UKI3,2016,15110972
2013,UKI4,2013,22302925
2014,UKI4,2013,242190777
2015,UKI4,2013,18998237
2016,UKI4,2016,38315112
2017,UKI4,2016,47801211
2018,UKI4,2016,146527172
2019,UKI4,2016,45684593
2020,UKI4,2016,43636832
2013,UKI5,2013,1808010
2014,UKI5,2013,2748740
2015,UKI5,2013,1529412
2016,UKI5,2016,3426250
2017,UKI5,2016,8052282
2018,UKI5,2016,5737786
2019,UKI5,2016,3402734
2020,UKI5,2016,1629444
2013,UKI6,2013,2129301
2014,UKI6,2013,3261552
2015,UKI6,2013,1068631
2016,UKI6,2016,1061586
2017,UKI6,2016,1705118
2018,UKI6,2016,4006058
2019,UKI6,2016,2506110
2020,UKI6,2016,491519
2013,UKI7,2013,5582570
2014,UKI7,2013,5404031
2015,UKI7,2013,7245014
2016,UKI7,2016,13221417
2017,UKI7,2016,14586324
2018,UKI7,2016,10739977
2019,UKI7,2016,7945196
2020,UKI7,2016,2566734
2010,UKJ1,2010,9693485
2011,UKJ1,2010,15371623
2012,UKJ1,2010,96575426
2013,UKJ1,2013,38165618
2014,UKJ1,2013,155542945
2015,UKJ1,2013,37391840
2016,UKJ1,2016,61594925
2017,UKJ1,2016,108136680
2018,UKJ1,2016,249193962
2019,UKJ1,2016,138140218
2020,UKJ1,2016,9718333
2010,UKJ2,2010,13792346
2011,UKJ2,2010,8205398
2012,UKJ2,2010,13675787
2013,UKJ2,2013,17314784
2014,UKJ2,2013,21331166
2015,UKJ2,2013,23085492
2016,UKJ2,2016,24225026
2017,UKJ2,2016,21310226
2018,UKJ2,2016,31433764
2019,UKJ2,2016,30140401
2020,UKJ2,2016,6915834
2010,UKJ3,2010,8747307
2011,UKJ3,2010,19152965
2012,UKJ3,2010,17170211
2013,UKJ3,2013,18603706
2014,UKJ3,2013,30728051
2015,UKJ3,2013,25312777
2016,UKJ3,2016,29347270
2017,UKJ3,2016,50570455
2018,UKJ3,2016,22136573
2019,UKJ3,2016,13825951
2020,UKJ3,2016,2593010
2010,UKJ4,2010,1128552
2011,UKJ4,2010,1470312
2012,UKJ4,2010,2038531
2013,UKJ4,2013,7599612
2014,UKJ4,2013,3773800
2015,UKJ4,2013,1697772
2016,UKJ4,2016,2175832
2017,UKJ4,2016,2843230
2018,UKJ4,2016,5481797
2019,UKJ4,2016,3767193
2020,UKJ4,2016,1048517
2010,UKK1,2010,6867128
2011,UKK1,2010,70786967
2012,UKK1,2010,82868163
2013,UKK1,2013,52820910
2014,UKK1,2013,170111514
2015,UKK1,2013,80983982
2016,UKK1,2016,103460836
2017,UKK1,2016,71485000
2018,UKK1,2016,179479375
2019,UKK1,2016,28365295
2020,UKK1,2016,7720049
2010,UKK2,2010,5991643
2011,UKK2,2010,11784588
2012,UKK2,2010,2345464
2013,UKK2,2013,8329797
2014,UKK2,2013,5872145
2015,UKK2,2013,8895090
2016,UKK2,2016,2475034
2017,UKK2,2016,9268772
2018,UKK2,2016,4456460
2019,UKK2,2016,4501524
2020,UKK2,2016,1369394
2010,UKK3,2010,2274535
2011,UKK3,2010,292515
2012,UKK3,2010,1841275
2013,UKK3,2013,1127541
2014,UKK3,2013,852241
2015,UKK3,2013,1165241
2016,UKK3,2016,516558
2017,UKK3,2016,1047350
2018,UKK3,2016,1739943
2019,UKK3,2016,148945
2020,UKK3,2016,675694
2010,UKK4,2010,2511496
2011,UKK4,2010,1881230
2012,UKK4,2010,3149806
2013,UKK4,2013,3572909
2014,UKK4,2013,3063613
2015,UKK4,2013,2347396
2016,UKK4,2016,4487503
2017,UKK4,2016,5662281
2018,UKK4,2016,7859261
2019,UKK4,2016,5062960
2020,UKK4,2016,2110183
2010,UKL1,2010,3166650
2011,UKL1,2010,3560338
2012,UKL1,2010,6131216
2013,UKL1,2013,6489517
2014,UKL1,2013,6198622
2015,UKL1,2013,7402233
2016,UKL1,2016,5424003
2017,UKL1,2016,11237328
2018,UKL1,2016,6466455
2019,UKL1,2016,6806654
2020,UKL1,2016,20973752
2010,UKL2,2010,1140543
2011,UKL2,2010,2005863
2012,UKL2,2010,2372299
2013,UKL2,2013,5879318
2014,UKL2,2013,6398692
2015,UKL2,2013,5808821
2016,UKL2,2016,13059475
2017,UKL2,2016,11177862
2018,UKL2,2016,64873897
2019,UKL2,2016,10850359
2020,UKL2,2016,2013186
2010,UKM2,2010,7324894
2011,UKM2,2010,8177141
2012,UKM2,2010,7302514
2013,UKM2,2013,9512358
2014,UKM2,2013,15901857
2015,UKM2,2013,13090105
2010,UKM3,2010,3912654
2011,UKM3,2010,51426947
2012,UKM3,2010,50757300
2013,UKM3,2013,10163544
2014,UKM3,2013,88199296
2015,UKM3,2013,15768719
2010,UKM5,2010,99475
2011,UKM5,2010,2055468
2012,UKM5,2010,1346851
2013,UKM5,2013,925500
2014,UKM5,2013,1044086
2015,UKM5,2013,2380776
2016,UKM5,2016,2192729
2017,UKM5,2016,1955728
2018,UKM5,2016,6773523
2019,UKM5,2016,3968327
2020,UKM5,2016,785146
2010,UKM6,2010,500995
2011,UKM6,2010,452188
2012,UKM6,2010,212296
2013,UKM6,2013,630767
2014,UKM6,2013,194051
2015,UKM6,2013,902834
2016,UKM6,2016,119534
2017,UKM6,2016,1923331
2018,UKM6,2016,14492466
2019,UKM6,2016,1131490
2020,UKM6,2016,624102
2016,UKM7,2016,9391989
2017,UKM7,2016,19296395
2018,UKM7,2016,38194532
2019,UKM7,2016,17169007
2020,UKM7,2016,4757861
2016,UKM8,2016,12692558
2017,UKM8,2016,18355138
2018,UKM8,2016,112235081
2019,UKM8,2016,8216557
2020,UKM8,2016,2261460
2016,UKM9,2016,3501058
2017,UKM9,2016,1274617
2018,UKM9,2016,2900698
2019,UKM9,2016,1769886
2020,UKM9,2016,241619
2010,UKN0,2010,2858999
2011,UKN0,2010,4624934
2012,UKN0,2010,4720327
2013,UKN0,2013,7134544
2014,UKN0,2013,11223018
2015,UKN0,2013,10426248
2016,UKN0,2016,9456331
2017,UKN0,2016,6088525
2018,UKN0,2016,28060197
2019,UKN0,2016,12907478
2020,UKN0,2016,2425745
